"","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","CODINFOR","P300A","P301A","P207","P507","P513T","P524A1","P401H1","P401H2","P401H3","P401H4","P401H5","P401H6"
"2898","1893786111180101331",18937,86,11,1,180101,3,3,1,4,6,1,4,51,1080,2,2,2,2,2,2
"2899","189388112180101332",18938,8,11,2,180101,3,3,2,4,10,1,3,48,3000,2,2,2,2,2,2
"2900","1893862111180101331",18938,62,11,1,180101,3,3,1,4,8,1,3,40,5000,2,2,2,2,2,2
"2901","1893912111180101331",18939,12,11,1,180101,3,3,1,2,10,1,3,48,2245,2,2,2,2,2,2
"2902","1893912112180101332",18939,12,11,2,180101,3,3,2,2,8,2,3,48,980,2,2,2,2,2,2
"2903","1893949111180101331",18939,49,11,1,180101,3,3,1,4,6,1,3,8,25,2,2,2,2,2,2
"2904","1893967112180101332",18939,67,11,2,180101,3,3,2,4,8,2,3,41,750,2,2,2,2,2,2
"2905","18939196111180101331",18939,196,11,1,180101,3,3,1,4,10,1,3,50,4750,2,2,2,2,2,2
"2906","18939196112180101332",18939,196,11,2,180101,3,3,2,4,8,2,3,48,1813,2,2,2,2,2,2
"2907","189478113180301333",18947,8,11,3,180301,3,3,3,4,6,1,4,48,2700,2,2,2,2,2,2
"2908","1894723111180301331",18947,23,11,1,180301,3,3,1,4,8,2,6,66,600,2,2,2,2,2,2
"2909","1894739111180301332",18947,39,11,1,180301,3,3,2,4,8,1,4,45,550,2,2,2,2,2,2
"2910","1899736112180301332",18997,36,11,2,180301,3,3,2,4,10,1,3,0,2500,2,2,2,2,2,2
"2911","1899773112180301332",18997,73,11,2,180301,3,3,2,4,6,1,4,56,2800,2,2,2,2,2,2
"2912","1899792112180301332",18997,92,11,2,180301,3,3,2,4,8,1,3,50,4000,2,2,2,2,2,2
"2913","19015191111180101371",19015,191,11,1,180101,3,7,1,2,8,1,3,34,2400,2,2,2,2,2,2
"2914","19015396112180101372",19015,396,11,2,180101,3,7,2,4,8,2,4,2,20,2,2,2,2,2,2
