MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P300A,P301A,P207
5.24425E+16,5244,25,11,3,20105,5,3,3,4,8,1
5.24425E+16,5244,25,11,4,20105,5,3,4,4,10,1
5.24425E+16,5244,25,11,5,20105,5,3,5,4,10,2
5.24425E+16,5244,25,11,6,20105,5,3,6,4,6,1
5.24439E+16,5244,39,11,1,20105,5,3,1,1,4,1
5.24439E+16,5244,39,11,2,20105,5,3,2,1,3,2
5.24439E+16,5244,39,11,3,20105,5,3,1,4,9,1
5.24439E+16,5244,39,11,4,20105,5,3,4,4,5,1
5.24411E+17,5244,105,11,1,20105,5,3,1,4,6,1
5.24411E+17,5244,105,11,2,20105,5,3,2,4,6,2
5.24411E+17,5244,105,11,3,20105,5,3,0, , ,1
5.24411E+17,5244,105,11,4,20105,5,3,0, , ,1
5.25721E+15,5257,2,11,1,20101,5,3,1,4,6,1
5.25721E+15,5257,2,11,2,20101,5,3,2,4,6,2
5.25736E+16,5257,36,11,1,20101,5,3,1,4,9,1
5.25736E+16,5257,36,11,2,20101,5,3,2,4,9,2
5.25736E+16,5257,36,11,3,20101,5,3,3,4,9,2
5.25769E+16,5257,69,11,1,20101,5,3,1,4,10,1
5.25769E+16,5257,69,11,2,20101,5,3,2,4,10,2
5.25769E+16,5257,69,11,3,20101,5,3,3,4,9,2
5.25769E+16,5257,69,11,4,20101,5,3,4,4,10,1
5.25779E+16,5257,79,11,1,20101,5,3,1,1,6,2
5.25779E+16,5257,79,11,2,20101,5,3,2,1,6,1
5.25779E+16,5257,79,11,3,20101,5,3,3,4,5,2
5.25779E+16,5257,79,11,4,20101,5,3,1,4,3,2
5.25788E+16,5257,88,11,1,20101,5,3,1,1,11,1
5.25788E+16,5257,88,11,2,20101,5,3,2,1,8,2
5.25788E+16,5257,88,11,3,20101,5,3,3,4,5,1
5.25788E+16,5257,88,11,4,20101,5,3,2,4,3,2
5.36241E+15,5362,4,11,1,30604,6,5,1,1,4,1
5.36241E+15,5362,4,11,2,30604,6,5,2,1,4,2
5.36241E+15,5362,4,11,3,30604,6,5,3,1,6,2
5.36241E+15,5362,4,11,4,30604,6,5,3,4,3,2
5.36234E+16,5362,34,11,1,30604,6,5,1,1,1,2
5.36249E+16,5362,49,11,1,30604,6,5,1,1,3,1
5.36249E+16,5362,49,11,2,30604,6,5,2,1,3,2
5.36249E+16,5362,49,11,3,30604,6,5,3,1,5,1
5.36249E+16,5362,49,11,4,30604,6,5,2,4,3,2
5.36279E+16,5362,79,11,1,30604,6,5,1,1,1,2
5.36279E+16,5362,79,11,2,30604,6,5,2,1,1,2
5.36295E+16,5362,95,11,1,30604,6,5,1,1,5,1
5.36295E+16,5362,95,11,2,30604,6,5,2,1,5,2
5.36295E+16,5362,95,11,3,30604,6,5,3,1,6,2
5.36295E+16,5362,95,11,4,30604,6,5,4,4,5,2
5.36212E+17,5362,124,11,1,30604,6,5,1,1,4,1
5.36212E+17,5362,124,11,2,30604,6,5,2,1,1,2
5.36212E+17,5362,124,11,3,30604,6,5,3,4,5,2
5.40851E+15,5408,5,11,1,30207,6,7,1,1,5,1
5.40851E+15,5408,5,11,2,30207,6,7,2,1,5,2
5.40851E+15,5408,5,11,3,30207,6,7,2,1,3,1
5.40851E+15,5408,5,11,4,30207,6,7,2,1,2,1
5.40861E+15,5408,6,11,1,30207,6,7,1,1,4,1
5.40861E+15,5408,6,11,2,30207,6,7,2,1,3,2
5.40861E+15,5408,6,11,3,30207,6,7,3,1,6,1
5.40861E+15,5408,6,11,4,30207,6,7,2,4,3,2
5.40881E+15,5408,8,11,1,30207,6,7,1,1,4,1
5.40881E+15,5408,8,11,2,30207,6,7,2,1,4,2
5.40881E+15,5408,8,11,3,30207,6,7,3,1,6,1
5.40881E+15,5408,8,11,4,30207,6,7,4,4,6,2
5.4081E+16,5408,10,11,1,30207,6,7,1,1,1,2
5.40812E+17,5408,119,11,1,30207,6,7,1,1,6,1
5.40812E+17,5408,119,11,2,30207,6,7,2,1,4,2
5.40812E+17,5408,119,11,3,30207,6,7,3,1,5,1
5.40812E+17,5408,119,11,4,30207,6,7,4,1,5,2
5.40812E+17,5408,119,11,5,30207,6,7,1,1,3,1
5.40812E+17,5408,119,11,6,30207,6,7,1,1,3,2
5.40812E+17,5408,119,11,7,30207,6,7,1,1,2,2
5.40812E+17,5408,121,11,1,30207,6,7,3,1,3,1
5.40812E+17,5408,121,11,2,30207,6,7,2,1,3,2
5.40812E+17,5408,121,11,3,30207,6,7,3,1,5,2
5.40812E+17,5408,121,11,4,30207,6,7,4,1,5,2
